analysis, h, CPUtime
bT1, 0, 103354.760381735
net1_snaq, 1, 11648.984309726
newtry1, 1, 88579.306341032
timetest01_snaq, 1, 16688.01510346
timetest02_snaq, 1, 37137.96354747
timetest03_snaq, 1, 12630.994448551
timetest04_snaq, 1, 21942.346502542
timetest05_snaq, 1, 23949.375026384
timetest06_snaq, 1, 39287.796202476
timetest07_snaq, 1, 29822.147601027
timetest08_snaq, 1, 51589.342317181
timetest09_snaq, 1, 34831.465925074
timetest10_snaq, 1, 29394.463493788
timetest11_snaq, 1, 67926.502059791
timetest12_snaq, 1, 18935.630572383
timetest13_snaq, 1, 31456.993676184
